Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2024-03-13,5165.31,5341.0,5166.159092054795,174.8409079452049
2024-03-12,5175.27,5349.25,5176.546093972604,172.70390602739644
2024-03-11,5117.94,5291.5,5119.622610410958,171.87738958904174
2024-03-08,5123.69,5297.25,5126.637876438356,170.61212356164378
2024-03-07,5157.36,5330.25,5160.751140821917,169.49885917808297
2024-03-06,5104.76,5278.75,5108.536123835617,170.21387616438278
2024-03-05,5078.65,5251.0,5082.824232876712,168.1757671232881
2024-03-04,5130.95,5306.75,5135.588941095891,171.16105890410927
2024-03-01,5137.08,5312.25,5142.991160547945,169.25883945205533
2024-02-29,5096.27,5270.5,5102.553072602741,167.94692739725906
2024-02-28,5069.76,5246.75,5076.427081643836,170.32291835616434
2024-02-27,5078.18,5256.5,5085.275539178083,171.2244608219171
2024-02-26,5069.53,5246.25,5077.030126575342,169.21987342465764
2024-02-23,5088.8,5267.25,5097.583408219179,169.66659178082136
2024-02-22,5087.03,5262.75,5096.228465205479,166.52153479452136
2024-02-21,4981.8,5152.75,4991.217649315069,161.53235068493086
2024-02-20,4975.51,5149.5,4985.324704657534,164.1752953424657
2024-02-16,5005.57,5179.75,5017.089667945205,162.6603320547947
2024-02-15,5029.73,5205.75,5041.718671506849,164.0313284931508
2024-02-14,5000.62,5175.5,5012.95029589041,162.54970410958958
2024-02-13,4953.17,5129.0,4965.790405753425,163.20959424657485
2024-02-12,5021.84,5196.25,5035.0481271232875,161.2018728767125
2024-02-09,5026.61,5198.25,5041.0701109589045,157.17988904109552
2024-02-08,4997.91,5170.5,5012.698336438356,157.8016635616441
2024-02-07,4995.06,5166.5,5010.250456438357,156.2495435616429
2024-02-06,4954.23,5124.25,4969.703485479451,154.54651452054895
2024-02-05,4942.81,5113.25,4958.654075890412,154.59592410958794
2024-02-02,4958.61,5129.75,4975.727393424657,154.02260657534316
2024-02-01,4906.19,5068.75,4923.529685205479,145.22031479452107
2024-01-31,4845.65,5010.5,4863.173994520547,147.32600547945276
2024-01-30,4924.97,5098.0,4943.1856424657535,154.81435753424648
2024-01-29,4927.93,5100.0,4946.561625753425,153.43837424657522
2024-01-26,4890.97,5061.75,4910.667879178082,151.08212082191767
2024-01-25,4894.16,5067.75,4914.272986301369,153.4770136986308
2024-01-24,4868.55,5043.25,4888.9578945205485,154.2921054794515
2024-01-23,4864.6,5039.25,4885.391167123287,153.85883287671277
2024-01-22,4850.43,5025.0,4871.5592704109595,153.44072958904053
2024-01-19,4839.81,5010.25,4862.086385753425,148.16361424657498
2024-01-18,4780.94,4947.5,4803.338376438356,144.16162356164386
2024-01-17,4739.21,4903.0,4761.802398356164,141.1976016438357
2024-01-16,4765.98,4930.0,4789.091738630137,140.90826136986288
2024-01-12,4783.83,4946.0,4808.601064931507,137.3989350684933
2024-01-11,4780.24,4948.25,4805.385372054794,142.86462794520594
2024-01-10,4783.45,4956.75,4809.005417808219,147.74458219178086
2024-01-09,4756.5,4928.75,4782.302383561643,146.44761643835682
2024-01-08,4763.54,4937.75,4789.772096986301,147.97790301369878
2024-01-05,4697.24,4868.5,4724.265216438355,144.2347835616447
2024-01-04,4688.68,4863.75,4716.041338082192,147.70866191780806
2024-01-03,4704.81,4878.75,4732.652163287671,146.0978367123289
2024-01-02,4742.83,4918.75,4771.28698,147.46302000000014
2023-12-29,4769.83,4950.75,4800.017143287671,150.7328567123286
2023-12-28,4783.35,4964.75,4814.015860273974,150.73413972602611
2023-12-27,4781.58,4965.0,4812.627519452055,152.3724805479451
2023-12-26,4774.75,4960.5,4806.145616438356,154.35438356164377
2023-12-22,4754.63,4935.5,4787.456486575343,148.04351342465725
2023-12-21,4746.75,4927.5,4779.912226027397,147.58777397260292
2023-12-20,4698.35,4880.0,4731.560254794522,148.43974520547818
2023-12-19,4768.37,4956.0,4802.4671115068495,153.5328884931505
2023-12-18,4740.56,4928.75,4774.847886027398,153.9021139726019
2023-12-15,4719.19,4903.25,4719.19,184.0600000000004
2023-12-14,4719.55,4906.0,4719.937908219179,186.062091780821
2023-12-13,4707.09,4893.75,4707.863768219178,185.88623178082162
2023-12-12,4643.7,4836.5,4644.8450219178085,191.65497808219152
2023-12-11,4622.44,4816.75,4623.95970630137,192.7902936986302
2023-12-08,4604.37,4797.5,4607.019089589042,190.48091041095813
2023-12-07,4585.59,4772.75,4588.605182465753,184.1448175342466
2023-12-06,4549.34,4738.0,4552.70526520548,185.29473479452008
